Projects,BHK,Society,Carpet_Area,Furnishing,Bathroom,Price,Rates
,3,Lush Residences,1028 sqft,Unfurnished,3,₹1.24 Cr ,₹9185 per sqft 
,4,Lodha Panache,1470 sqft,Semi-Furnished,4,₹1.82 Cr ,₹9306 per sqft 
,2,Life Republic Aros,836 sqft,Unfurnished,2,₹63.3 Lac ,₹5529 per sqft 
,2,57 Elevate,754 sqft,Semi-Furnished,2,₹85 Lac ,₹8358 per sqft 
,3,Bramha the Collection,1180 sqft,Semi-Furnished,3,₹1.55 Cr ,₹9394 per sqft 
,2,Kohinoor Famville,792 sqft,Unfurnished,2,₹77 Lac ,₹7203 per sqft 
,3,Gloria Grand,1144 sqft,Unfurnished,3,₹1.38 Cr ,₹8938 per sqft 
,3,7 Plumeria Drive,1208 sqft,Unfurnished,3,₹1.40 Cr ,₹8557 per sqft 
,3,Kalpataru Jade Skyline,1189 sqft,Unfurnished,3,₹1.75 Cr ,₹10903 per sqft 
,3,Majestique Marbella,1170 sqft,Unfurnished,3,₹1.29 Cr ,₹8558 per sqft 
,3,Nyati Emerald,1200 sqft,Unfurnished,3,₹1.50 Cr ,₹9146 per sqft 
,2,Puraniks Abitante Fiore,733 sqft,Unfurnished,2,₹75 Lac ,₹5618 per sqft 
,1,GK Aarcon,462 sqft,Unfurnished,1,₹38 Lac ,
,2,,750 sqft,Unfurnished,2,₹74 Lac ,₹8315 per sqft 
,3,Riverdale Grand,1140 sqft,Semi-Furnished,3,₹1.55 Cr ,₹10092 per sqft 
,1,Rohan Harita,443 sqft,Unfurnished,1,₹48 Lac ,₹8027 per sqft 
,2,Raheja Sterling,,Unfurnished,2,₹85 Lac ,₹7727 per sqft 
,2,Harivishva Infinia,810 sqft,Unfurnished,2,₹80 Lac ,₹7273 per sqft 
,3,Megapolis Mystic,1161 sqft,Unfurnished,3,₹93 Lac ,₹5471 per sqft 
,3,The Strand,1336 sqft,Semi-Furnished,3,₹1.68 Cr ,₹9346 per sqft 
