Projects,BHK,Society,Carpet_Area,Furnishing,Bathroom,Price,Rates
,2,,700 sqft,Unfurnished,2,₹35 Lac ,₹4014 per sqft 
,1,The Reino,484 sqft,Unfurnished,2,₹20.2 Lac ,₹3543 per sqft 
,2,Atria Grande,1150 sqft,Furnished,2,₹70 Lac ,₹5833 per sqft 
,3,Kumar Sophronia,1300 sqft,Semi-Furnished,3,₹1.64 Cr ,₹11976 per sqft 
,3,,1130 sqft,Unfurnished,3,₹1.50 Cr ,
,2,Atul Westernhills,,Unfurnished,2,₹75 Lac ,₹12097 per sqft 
,5,Kolte Patil 24K Stargaze,3400 sqft,Unfurnished,5,₹3.50 Cr ,₹7609 per sqft 
,2,Blue Ridge,1040 sqft,Semi-Furnished,2,₹1.21 Cr ,₹8736 per sqft 
,2,VTP Blue Waters,860 sqft,Semi-Furnished,2,₹76 Lac ,₹7037 per sqft 
,2,Amit Colori Phase II,580 sqft,Unfurnished,2,₹52 Lac ,₹6933 per sqft 
,1,Suraj Homes,,Unfurnished,1,₹21.6 Lac ,₹3740 per sqft 
,4,Kolte Patil 24K Atria,2668 sqft,Semi-Furnished,4,₹5.05 Cr ,₹15417 per sqft 
,3,,,Unfurnished,3,₹2.40 Cr ,₹16667 per sqft 
,3,,1099 sqft,Unfurnished,3,₹3.06 Cr ,₹20544 per sqft 
,2,Salarpuria Sattva HM Royal,840 sqft,Unfurnished,2,₹76.4 Lac ,₹8830 per sqft 
,2,Silver Palm Grove,900 sqft,Semi-Furnished,2,₹81 Lac ,₹7105 per sqft 
,4,Ajmera Aria,5850 sqft,Furnished,5,₹16 Cr ,₹22857 per sqft 
,4,The House of Lords,,Semi-Furnished,5,₹3.60 Cr ,₹10465 per sqft 
,1,Shree Dhareshwar Angan,,Unfurnished,1,₹32.2 Lac ,₹5443 per sqft 
,1,Sunshine Hills,485 sqft,Semi-Furnished,1,₹26.2 Lac ,₹4227 per sqft 
,2,,602 sqft,Unfurnished,2,₹20.2 Lac ,₹2743 per sqft 
,2,Sai Ganga,686 sqft,Unfurnished,1,₹27.5 Lac ,₹3526 per sqft 
,1,Shree Apartment,460 sqft,Unfurnished,1,₹53 Lac ,₹8548 per sqft 
,1,,580 sqft,Semi-Furnished,1,₹44 Lac ,₹6241 per sqft 
,1,Puraniks Abitante Fiore,489 sqft,Unfurnished,1,₹48.5 Lac ,₹7462 per sqft 
,2,Yashone Infinitee Phase II,700 sqft,Unfurnished,2,₹67 Lac ,₹13400 per sqft 
,2,Kosmic Kourtyard,633 sqft,Unfurnished,2,₹43.3 Lac ,₹5053 per sqft 
,3,Kolte Patil Ivy Estates Phase 2,1257 sqft,Semi-Furnished,3,₹1.15 Cr ,₹7256 per sqft 
,2,Silver Mist,,Semi-Furnished,2,₹65 Lac ,₹8025 per sqft 
,3,Velstand Phase 2,1120 sqft,Unfurnished,2,₹1.57 Cr ,₹10384 per sqft 
,2,Amanora Gold Towers,550 sqft,Semi-Furnished,2,₹1 Cr ,₹13423 per sqft 
,3,Kolte Patil Life Republic Sector R7 7th Avenue I Towers,1260 sqft,Unfurnished,3,₹1 Cr ,₹5882 per sqft 
,4,Manohar Residency,2800 sqft,Semi-Furnished,3,₹3.51 Cr ,₹10636 per sqft 
,1,Raheja Gardens,535 sqft,Unfurnished,1,₹50 Lac ,₹8538 per sqft 
,1,Shapoorji Pallonji Joyville,,Unfurnished,1,₹46 Lac ,₹6667 per sqft 
,1,Atria Dhanashree Aangan,450 sqft,Unfurnished,1,₹26 Lac ,
,1,Dhanashree Aangan,460 sqft,Unfurnished,1,₹26 Lac ,₹4082 per sqft 
,2,Tatva,785 sqft,Furnished,2,₹90 Lac ,₹8671 per sqft 
,1,,550 sqft,Semi-Furnished,1,₹49 Lac ,₹7538 per sqft 
,3,Belmac Residences,,Unfurnished,3,₹2.30 Cr ,₹13218 per sqft 
,3,Apostrophe,1250 sqft,Unfurnished,3,₹1.35 Cr ,₹8308 per sqft 
,2,,850 sqft,Semi-Furnished,2,₹78 Lac ,₹7091 per sqft 
,1,Aaditya Malhar,430 sqft,Unfurnished,1,₹43.2 Lac ,₹6395 per sqft 
,1,Tanishq Srushti,500 sqft,Unfurnished,1,₹25 Lac ,₹4348 per sqft 
,2,Suyog Space,738 sqft,Unfurnished,2,₹65.5 Lac ,₹6576 per sqft 
,4,Bramha Sun City Phase II,1650 sqft,Unfurnished,4,₹1.90 Cr ,₹10000 per sqft 
,1,Premia,430 sqft,Unfurnished,2,₹36 Lac ,₹5357 per sqft 
,3,Aditya Comfort Zone,1150 sqft,Unfurnished,3,₹1.35 Cr ,₹9215 per sqft 
,3,,1105 sqft,Unfurnished,3,₹90 Lac ,
,2,Ganga Kingston,,Unfurnished,2,₹72 Lac ,₹6316 per sqft 
,3,Park Xpress II,1192 sqft,Unfurnished,3,₹1.95 Cr ,₹12303 per sqft 
,3,Mont Vert Grande,1200 sqft,Unfurnished,3,₹1.50 Cr ,₹10000 per sqft 
,3,Nanded City,1265 sqft,Semi-Furnished,3,₹1.30 Cr ,₹8371 per sqft 
,1,Anmol Apartments,600 sqft,Unfurnished,1,₹46 Lac ,₹7463 per sqft 
,2,Royal Oak,777 sqft,Unfurnished,2,₹67.5 Lac ,₹10000 per sqft 
,2,Kolte Patil Langston Tuscan,890 sqft,Semi-Furnished,2,₹95 Lac ,₹7600 per sqft 
,2,Astoria Royals,780 sqft,Unfurnished,2,₹70 Lac ,₹6272 per sqft 
,2,Florencia Apartment,790 sqft,Unfurnished,2,₹75 Lac ,₹7274 per sqft 
,2,Sai Laxmi Galaxy,876 sqft,Semi-Furnished,2,₹70 Lac ,₹7991 per sqft 
,4,,2000 sqft,Unfurnished,4,₹1.35 Cr ,₹5000 per sqft 
,1,Bhumi Mangalmurti Heights,583 sqft,Furnished,1,₹30 Lac ,₹4615 per sqft 
,2,Imperial Towers,700 sqft,Semi-Furnished,2,₹72 Lac ,₹8000 per sqft 
,3,Jasminum,1300 sqft,Unfurnished,3,₹2 Cr ,₹13333 per sqft 
,3,,1035 sqft,Unfurnished,3,₹84.5 Lac ,₹6760 per sqft 
,3,Pate Vikrant,1097 sqft,Unfurnished,3,₹2.10 Cr ,₹13681 per sqft 
,3,Ganga Platino Commercial,1450 sqft,Semi-Furnished,3,₹1.90 Cr ,₹10270 per sqft 
,4,Castel Royale Excellente,,Semi-Furnished,4,₹7.50 Cr ,₹21429 per sqft 
,3,,1245 sqft,Unfurnished,3,₹1.35 Cr ,₹7754 per sqft 
,2,Gagan Adira,815 sqft,Unfurnished,2,₹69.9 Lac ,₹6355 per sqft 
,3,K Shire,1067 sqft,Unfurnished,3,₹1.04 Cr ,₹6966 per sqft 
,2,Siddharth Nagar Phase 3,680 sqft,Unfurnished,2,₹64 Lac ,₹7111 per sqft 
,2,Intercontinental Swapna Nagari,550 sqft,Unfurnished,2,₹26.8 Lac ,₹3153 per sqft 
,3,,859 sqft,Semi-Furnished,3,₹73 Lac ,₹6293 per sqft 
,1,VTP Urban Soul,500 sqft,Semi-Furnished,1,₹55 Lac ,₹8730 per sqft 
,2,Ganga Carnation,1200 sqft,Semi-Furnished,2,₹1.90 Cr ,₹15200 per sqft 
,2,Nyati Esteban I,965 sqft,Semi-Furnished,2,₹90 Lac ,₹6667 per sqft 
,2,Surobhi Township,820 sqft,Unfurnished,2,₹65 Lac ,₹6915 per sqft 
,2,Majestique Venice,800 sqft,Unfurnished,2,₹56 Lac ,₹5600 per sqft 
,2,Park Infinia,764 sqft,Unfurnished,2,₹58 Lac ,₹5620 per sqft 
,4,Shagun Eternelle,2700 sqft,Furnished,4,₹4 Cr ,₹12903 per sqft 
,3,Pristine Pro Life,1200 sqft,Furnished,3,₹1.29 Cr ,₹8062 per sqft 
,2,,820 sqft,Furnished,2,₹85 Lac ,₹7522 per sqft 
,2,Yashwin Orizzonte,732 sqft,Semi-Furnished,2,₹1 Cr ,₹9690 per sqft 
,2,Taneshq Jewel,760 sqft,Furnished,2,₹56 Lac ,₹6120 per sqft 
,2,Horizons,747 sqft,Semi-Furnished,2,₹76 Lac ,₹7238 per sqft 
,2,Rajaveer Palace Phase I,820 sqft,Semi-Furnished,2,₹87 Lac ,₹7859 per sqft 
,2,,734 sqft,Semi-Furnished,2,₹72.5 Lac ,₹7360 per sqft 
,3,Joyville Hinjawadi,1166 sqft,Semi-Furnished,3,₹1.08 Cr ,₹8308 per sqft 
,2,Nyati Gardens,1000 sqft,Unfurnished,2,₹54 Lac ,₹4954 per sqft 
,3,Chaitraban Residency,950 sqft,Unfurnished,3,₹1.17 Cr ,₹10665 per sqft 
,3,10 Luxe,1421 sqft,Semi-Furnished,3,₹1.85 Cr ,₹10000 per sqft 
,3,Majestique Towers,,Semi-Furnished,3,₹1.40 Cr ,₹9472 per sqft 
,2,Akshar Elementa,830 sqft,Semi-Furnished,2,₹85 Lac ,₹7644 per sqft 
,3,Shubh Gateway,1277 sqft,Semi-Furnished,4,₹1.60 Cr ,₹9281 per sqft 
,2,,,Unfurnished,2,₹45 Lac ,₹6966 per sqft 
,3,Mahindra Woods Pinnacle,2020 sqft,Semi-Furnished,3,₹3.50 Cr ,₹11667 per sqft 
,1,Poorva Residency,610 sqft,Unfurnished,1,₹55 Lac ,₹7333 per sqft 
,3,Godrej Forest Grove,630 sqft,Unfurnished,2,₹56 Lac ,₹5556 per sqft 
,3,Sukhwani Celaeno,1050 sqft,Unfurnished,3,₹1.29 Cr ,₹8897 per sqft 
,1,Lunkad Queensland,,Unfurnished,1,₹60 Lac ,₹10345 per sqft 
,2,Nandan Inspera,960 sqft,Semi-Furnished,2,₹93 Lac ,₹7737 per sqft 
,2,Lodha Bella Vita,,Semi-Furnished,2,₹99 Lac ,₹12162 per sqft 
,3,Kolte Patil Life Republic,1200 sqft,Unfurnished,3,₹1.10 Cr ,₹7333 per sqft 
,1,Rohan Abhilasha,,Unfurnished,1,₹35.5 Lac ,₹5462 per sqft 
,2,Kings Way,1050 sqft,Unfurnished,2,₹1.05 Cr ,₹7997 per sqft 
,2,F Residences,815 sqft,Semi-Furnished,2,₹86 Lac ,₹7049 per sqft 
,3,Rahul Towers,1250 sqft,Unfurnished,3,₹1.60 Cr ,₹10667 per sqft 
,2,Magarpatta nova,,Semi-Furnished,2,₹85 Lac ,₹11333 per sqft 
,2,Rose Icon,800 sqft,Unfurnished,2,₹80 Lac ,₹6612 per sqft 
,3,Kolte-Patil Western Avenue,1100 sqft,Unfurnished,3,₹1.40 Cr ,₹9333 per sqft 
,2,Sommet,667 sqft,Unfurnished,2,₹60 Lac ,₹6667 per sqft 
,3,Kapil Aasmant,1150 sqft,Semi-Furnished,3,₹1.50 Cr ,₹9548 per sqft 
,3,Kunal Iconia,1251 sqft,Unfurnished,3,₹75 Lac ,₹5543 per sqft 
,3,MJ Opera,1077 sqft,Unfurnished,3,₹95.5 Lac ,₹6337 per sqft 
,3,Bramha Emerald County,,Unfurnished,3,₹96 Lac ,₹6119 per sqft 
,2,Amit Colori Phase II,500 sqft,Furnished,2,₹43.5 Lac ,₹6214 per sqft 
,2,Atul Hill View Residency,675 sqft,Semi-Furnished,2,₹78 Lac ,₹8764 per sqft 
,4,Marvel Imperial,3000 sqft,Furnished,5,₹7 Cr ,₹17073 per sqft 
,2,Yashodhan Society,800 sqft,Furnished,2,₹90 Lac ,
,3,Aditya Comfort Zone,1400 sqft,Semi-Furnished,3,₹1.38 Cr ,₹7886 per sqft 
,2,Rohan Mithila,978 sqft,Unfurnished,2,₹1.15 Cr ,₹11500 per sqft 
,2,Krishna Amorapolis,704 sqft,Unfurnished,2,₹68 Lac ,₹6647 per sqft 
,2,Kolte Patil 24k Sereno,923 sqft,Semi-Furnished,2,₹1.35 Cr ,₹11926 per sqft 
,2,Goldfinger Avenir,868 sqft,Unfurnished,2,₹80 Lac ,₹7092 per sqft 
,3,Godrej Greens,930 sqft,Semi-Furnished,3,₹82 Lac ,₹7130 per sqft 
,2,Pristine Prolife,900 sqft,Unfurnished,2,₹96 Lac ,₹8348 per sqft 
,3,,1034 sqft,Unfurnished,3,₹99 Lac ,₹7361 per sqft 
,1,Kolte Patil Ivy Estate,,Semi-Furnished,1,₹36 Lac ,₹5143 per sqft 
,,Lodha Belmondo Augusta,500 sqft,Unfurnished,1,₹55 Lac ,₹9167 per sqft 
,2,Bramha Majestic,830 sqft,Semi-Furnished,2,₹65 Lac ,₹6341 per sqft 
,3,Gera Trinity Towers,1565 sqft,Semi-Furnished,3,₹2.15 Cr ,₹10864 per sqft 
,2,Kolte Downtown Cheryl,840 sqft,Semi-Furnished,2,₹1 Cr ,₹8739 per sqft 
,3,Yashwin Orizzonte,953 sqft,Unfurnished,3,₹1.35 Cr ,₹10385 per sqft 
,1,Royal Empire,464 sqft,Unfurnished,1,₹33.7 Lac ,₹6325 per sqft 
,2,Majestique Euriska,817 sqft,Furnished,2,₹66 Lac ,₹5946 per sqft 
,2,Elena Homes,694 sqft,Unfurnished,2,₹55 Lac ,₹5870 per sqft 
,2,Sunshree Kangan,900 sqft,Semi-Furnished,2,₹71 Lac ,₹6455 per sqft 
,4,,1500 sqft,Semi-Furnished,4,₹1.70 Cr ,₹8395 per sqft 
,4,Rahul Arcus,2136 sqft,Unfurnished,4,₹2.50 Cr ,₹8772 per sqft 
,2,Tamarind Park,760 sqft,Semi-Furnished,2,₹47.8 Lac ,₹5276 per sqft 
,2,Shagun Society,790 sqft,Unfurnished,2,₹54 Lac ,₹5258 per sqft 
,2,Shivalaya Society,940 sqft,Unfurnished,1,₹60 Lac ,₹6000 per sqft 
,2,,845 sqft,Semi-Furnished,2,₹75 Lac ,₹6818 per sqft 
,2,Future Towers,750 sqft,Unfurnished,2,₹1.15 Cr ,₹10952 per sqft 
,3,Amits Montecito,1610 sqft,Unfurnished,3,₹3.50 Cr ,₹15556 per sqft 
,3,Marvel Piazza,2000 sqft,Unfurnished,3,₹3.23 Cr ,₹15795 per sqft 
,3,Pate Vikrant,1500 sqft,Unfurnished,3,₹2.10 Cr ,₹13125 per sqft 
,4,Ekta California,2950 sqft,Furnished,4,₹2.35 Cr ,₹6343 per sqft 
,2,Marvel Albero,1100 sqft,Semi-Furnished,2,₹79 Lac ,₹6077 per sqft 
,2,Waman Ganesh Apartment,700 sqft,Semi-Furnished,2,₹93 Lac ,₹10957 per sqft 
,2,Kumar Pratham,870 sqft,Unfurnished,2,₹80 Lac ,₹6957 per sqft 
,2,Kingston Elysia,700 sqft,Furnished,2,₹43.5 Lac ,₹4807 per sqft 
,3,Runwal The Central Park,981 sqft,Unfurnished,3,₹1.18 Cr ,₹8551 per sqft 
,3,Trillium,1300 sqft,Semi-Furnished,3,₹1.70 Cr ,₹12630 per sqft 
,2,,890 sqft,Unfurnished,2,₹86 Lac ,₹7167 per sqft 
,3,The Ovo Life,1320 sqft,Unfurnished,3,₹1.02 Cr ,₹6028 per sqft 
,2,The Canary,830 sqft,Unfurnished,2,₹96 Lac ,₹8000 per sqft 
,2,,887 sqft,Unfurnished,2,₹82 Lac ,₹8000 per sqft 
,2,F Residences,750 sqft,Unfurnished,2,₹1.15 Cr ,
,2,,666 sqft,Unfurnished,2,₹1.40 Cr ,₹15680 per sqft 
,3,,1299 sqft,Unfurnished,3,₹2.05 Cr ,₹11714 per sqft 
,2,Colonnade,750 sqft,Semi-Furnished,2,₹80 Lac ,₹7273 per sqft 
,3,Namrata Magic,1200 sqft,Semi-Furnished,3,₹1.15 Cr ,₹7667 per sqft 
,3,,1015 sqft,Unfurnished,3,₹1.47 Cr ,₹10316 per sqft 
,3,Rohan Garima Phase II,1022 sqft,Unfurnished,3,₹2.22 Cr ,₹16087 per sqft 
,2,Nanded City,785 sqft,Semi-Furnished,2,₹1.49 Cr ,₹13493 per sqft 
,4,,2300 sqft,Semi-Furnished,4,₹3.50 Cr ,₹12500 per sqft 
,3,Mystique Moods,1250 sqft,Unfurnished,3,₹1.68 Cr ,₹10500 per sqft 
,2,S L P Jubilee Park,943 sqft,Semi-Furnished,2,₹79.9 Lac ,₹7083 per sqft 
,1,Dreams Wisteria,,Unfurnished,1,₹25.1 Lac ,₹5579 per sqft 
,3,Suyash Greens,1020 sqft,Furnished,2,₹65 Lac ,₹5285 per sqft 
,2,DSK Chandradeep,900 sqft,Unfurnished,2,₹1.65 Cr ,
,3,Yashwin Orizzonte,950 sqft,Semi-Furnished,3,₹1.29 Cr ,₹10055 per sqft 
,,Amanora Metro Towers,300 sqft,Furnished,1,₹38 Lac ,₹9500 per sqft 
,3,Rahul Arcus,1300 sqft,Semi-Furnished,3,₹1.60 Cr ,₹9143 per sqft 
,3,Marvel Zephyr,1900 sqft,Unfurnished,5,₹2.20 Cr ,₹9322 per sqft 
,2,,585 sqft,Unfurnished,2,₹53 Lac ,₹5889 per sqft 
,2,,800 sqft,Unfurnished,2,₹55 Lac ,₹6875 per sqft 
,4,,3800 sqft,Unfurnished,6,₹9 Cr ,₹17308 per sqft 
,1,,,Unfurnished,1,₹15 Lac ,₹3247 per sqft 
,2,Konark Exotica,930 sqft,Unfurnished,2,₹63 Lac ,₹5362 per sqft 
,1,,550 sqft,Unfurnished,2,₹46 Lac ,₹7077 per sqft 
,2,ArcVista,800 sqft,Unfurnished,2,₹65 Lac ,₹6323 per sqft 
,2,GK Atlanta Phase 1,,Semi-Furnished,2,₹88 Lac ,₹9483 per sqft 
,4,Ajmera Aria,5000 sqft,Furnished,5,₹16 Cr ,₹22857 per sqft 
,3,Krishna Amorapolis,1006 sqft,Semi-Furnished,3,₹86 Lac ,₹6324 per sqft 
,1,,500 sqft,Semi-Furnished,2,₹40 Lac ,₹6400 per sqft 
,3,Kasturi Eon Homes,1009 sqft,Unfurnished,3,₹95 Lac ,₹7246 per sqft 
,2,Mount N Glory,740 sqft,Semi-Furnished,2,₹78 Lac ,₹8254 per sqft 
,1,,521 sqft,Unfurnished,1,₹63 Lac ,
,3,Kolte Patil Centria,1255 sqft,Unfurnished,3,₹1.25 Cr ,₹7576 per sqft 
,3,Golden Trellis,1265 sqft,Unfurnished,3,₹1.55 Cr ,₹9936 per sqft 
,2,Kumar Puram,900 sqft,Furnished,2,₹1.65 Cr ,₹15714 per sqft 
,3,,1600 sqft,Furnished,3,₹2.50 Cr ,₹11111 per sqft 
,2,The Parkland,976 sqft,Unfurnished,2,₹1.17 Cr ,₹9278 per sqft 
,2,Trendy Tower,700 sqft,Semi-Furnished,2,₹80 Lac ,₹8421 per sqft 
,2,,750 sqft,Semi-Furnished,2,₹66 Lac ,₹6600 per sqft 
,2,Mahindra Citadel,730 sqft,Unfurnished,2,₹87 Lac ,₹8824 per sqft 
,2,Koregaon Park,800 sqft,Unfurnished,2,₹1.30 Cr ,
,3,,,Unfurnished,2,₹1.17 Cr ,₹9574 per sqft 
,4,,2800 sqft,Semi-Furnished,4,₹8.14 Cr ,₹18830 per sqft 
,2,Paranjape Abhiruchi Parisar,700 sqft,Unfurnished,2,₹75 Lac ,₹7500 per sqft 
,2,High Mount Phase 2,950 sqft,Unfurnished,2,₹62 Lac ,₹8267 per sqft 
,3,,1434 sqft,Semi-Furnished,3,₹2.16 Cr ,₹11151 per sqft 
,2,Runwal Seagull,1030 sqft,Unfurnished,2,₹45 Lac ,₹6338 per sqft 
,2,Trillium,830 sqft,Semi-Furnished,2,₹1.20 Cr ,
,3,Godrej Serene,950 sqft,Unfurnished,2,₹97 Lac ,₹10052 per sqft 
,2,Miravet District,850 sqft,Unfurnished,2,₹65 Lac ,
,2,,788 sqft,Unfurnished,2,₹1.17 Cr ,₹11043 per sqft 
,4,,1220 sqft,Unfurnished,4,₹2.30 Cr ,₹13939 per sqft 
,3,Nyati Enclave,1270 sqft,Unfurnished,3,₹1.04 Cr ,₹7664 per sqft 
,1,Tanish Orchid,460 sqft,Unfurnished,1,₹33 Lac ,₹5690 per sqft 
,2,Aura City,,Semi-Furnished,2,₹29.4 Lac ,₹4238 per sqft 
,3,Tennessee,1300 sqft,Unfurnished,3,₹95 Lac ,₹4657 per sqft 
,1,ARV Imperia,,Unfurnished,1,₹32 Lac ,₹5000 per sqft 
,3,Wellwisher Aairah Terrazo,1300 sqft,Furnished,3,₹1.93 Cr ,₹13125 per sqft 
,3,,1375 sqft,Semi-Furnished,3,₹2.35 Cr ,₹13056 per sqft 
,3,Lake Town,,Semi-Furnished,3,₹1.60 Cr ,₹11679 per sqft 
,2,,650 sqft,Semi-Furnished,2,₹78.5 Lac ,₹10051 per sqft 
,2,VTP Earth One,861 sqft,Unfurnished,2,₹94 Lac ,₹10918 per sqft 
,3,Nyati Iris,1100 sqft,Unfurnished,2,₹83 Lac ,₹5929 per sqft 
,2,Oxford Comforts,920 sqft,Unfurnished,2,₹66 Lac ,₹6471 per sqft 
,2,Chidanand Height,813 sqft,Unfurnished,2,₹42.8 Lac ,₹5781 per sqft 
,2,,,,,₹53.9 Lac ,₹5876 per sqft 
,2,Balaji Paradise,776 sqft,Unfurnished,2,₹51 Lac ,₹5484 per sqft 
,1,Godrej Boulevard,550 sqft,Unfurnished,1,₹43 Lac ,₹7679 per sqft 
,1,Ozone Apartments,535 sqft,Furnished,1,₹35 Lac ,
,2,Karma Iconic,760 sqft,Unfurnished,2,₹45.6 Lac ,₹6447 per sqft 
,4,Kalpataru Jade Residences,,,,₹5.15 Cr ,₹19808 per sqft 
,1,Xrbia Ambi,230 sqft,Unfurnished,1,₹16 Lac ,₹5333 per sqft 
,1,Castle CHS,402 sqft,Furnished,1,₹52 Lac ,₹9455 per sqft 
,2,Life Republic Clubhouse,629 sqft,Unfurnished,2,₹60 Lac ,₹6000 per sqft 
,4,Waterfront Condominiums,2400 sqft,Furnished,4,₹4.25 Cr ,₹15179 per sqft 
,1,,488 sqft,Unfurnished,2,₹42 Lac ,₹5563 per sqft 
,2,Palm Atlantis,720 sqft,Semi-Furnished,2,₹62 Lac ,₹7294 per sqft 
,2,Kolte Patil Langston Tuscan,,Semi-Furnished,2,₹1.05 Cr ,₹9130 per sqft 
,3,Karan Celista,1400 sqft,Unfurnished,3,₹1.60 Cr ,₹8602 per sqft 
,3,Sarita Ornate,1200 sqft,Semi-Furnished,3,₹1.30 Cr ,₹8667 per sqft 
,3,,1800 sqft,Unfurnished,2,₹2.75 Cr ,₹13750 per sqft 
,2,Sanskriti,826 sqft,Unfurnished,2,₹90 Lac ,₹7826 per sqft 
,3,Majestique Mrugavarsha,1000 sqft,Unfurnished,3,₹78 Lac ,₹5778 per sqft 
,1,Rohan Abhilasha,550 sqft,Unfurnished,1,₹44 Lac ,₹5930 per sqft 
,2,,,Unfurnished,2,₹90 Lac ,₹8219 per sqft 
,2,Meadows Habitat,800 sqft,Semi-Furnished,2,₹83.7 Lac ,₹8641 per sqft 
,3,,1900 sqft,Furnished,3,₹3.85 Cr ,₹13750 per sqft 
,3,Silver Oak,2100 sqft,Unfurnished,3,₹2.15 Cr ,₹10238 per sqft 
,2,Kalaapi Sucasa Phase I,1100 sqft,Unfurnished,3,₹88 Lac ,₹7333 per sqft 
,2,SURBHI MANGALAM,,Unfurnished,2,₹43.5 Lac ,₹5716 per sqft 
,4,Panchshil Trump Towers,4415 sqft,Unfurnished,3,₹13.50 Cr ,₹30578 per sqft 
,2,,750 sqft,Furnished,2,₹72 Lac ,₹7200 per sqft 
,2,Ira,815 sqft,Unfurnished,2,₹50 Lac ,₹4464 per sqft 
,3,,1003 sqft,Unfurnished,3,₹86.5 Lac ,₹5966 per sqft 
,3,La Ventana,1260 sqft,Unfurnished,3,₹1.70 Cr ,₹9637 per sqft 
,3,Kunal Aspiree Phase II,1250 sqft,Semi-Furnished,3,₹1.60 Cr ,₹11765 per sqft 
,3,Fragrancia,1185 sqft,Furnished,3,₹3 Cr ,₹15932 per sqft 
,2,Rohan Mithila,,Semi-Furnished,2,₹1.30 Cr ,₹10062 per sqft 
,3,Nyati Empire,1250 sqft,Unfurnished,3,₹1.45 Cr ,₹9355 per sqft 
,4,,,Furnished,5,₹7.45 Cr ,₹16556 per sqft 
,2,Saad,650 sqft,Furnished,2,₹58 Lac ,₹6444 per sqft 
,3,Bhakti Pride Apartment,1226 sqft,Semi-Furnished,2,₹80 Lac ,₹5714 per sqft 
,2,Nyati Evita,755 sqft,Unfurnished,2,₹81.9 Lac ,₹8832 per sqft 
,2,,600 sqft,Unfurnished,2,₹27.6 Lac ,₹3750 per sqft 
,3,Godrej Park Greens,601 sqft,Unfurnished,2,₹70.5 Lac ,₹11060 per sqft 
,2,Kohinoor Ambrosia,900 sqft,Furnished,2,₹54 Lac ,₹4758 per sqft 
,3,Kalbhor Lake Paradise,1136 sqft,Unfurnished,3,₹58 Lac ,₹4265 per sqft 
,2,Godrej Boulevard,,Semi-Furnished,2,₹84 Lac ,₹13084 per sqft 
,4,Panchshil Towers,2600 sqft,Unfurnished,6,₹4.10 Cr ,₹12059 per sqft 
,2,Godrej Nurture,695 sqft,Unfurnished,2,₹63.2 Lac ,₹9784 per sqft 
,1,Yogesh Gandharv Excellencee,,Unfurnished,1,₹32.6 Lac ,₹5385 per sqft 
,5,Windsor Avenue,,Semi-Furnished,5,₹3.50 Cr ,₹16787 per sqft 
,2,Amit Bloomfield,900 sqft,Semi-Furnished,2,₹77.1 Lac ,₹7143 per sqft 
,2,Treedom Park,,Furnished,2,₹83.7 Lac ,₹7031 per sqft 
,2,DSK Garden Enclave,1077 sqft,Unfurnished,2,₹74 Lac ,₹6172 per sqft 
,1,,306 sqft,Unfurnished,1,₹24.2 Lac ,
,2,Megapolis Sunway,804 sqft,Unfurnished,2,₹65 Lac ,₹6455 per sqft 
,1,Sanjuda Complex,576 sqft,Furnished,1,₹27.3 Lac ,
,1,Somani Residency,288 sqft,Unfurnished,1,₹31.2 Lac ,
,1,Swaraj Shiv Malhar,580 sqft,Semi-Furnished,1,₹18 Lac ,
,2,Acolade,1250 sqft,Semi-Furnished,2,₹97 Lac ,₹7462 per sqft 
,4,The Canary,1700 sqft,Unfurnished,4,₹2 Cr ,₹9524 per sqft 
,3,Gera World of Joy,1240 sqft,Unfurnished,3,₹1.44 Cr ,₹8597 per sqft 
,2,Nyati Emerald,838 sqft,Unfurnished,2,₹95 Lac ,₹8400 per sqft 
,2,Kul Utsav,473 sqft,Semi-Furnished,2,₹45 Lac ,₹7053 per sqft 
,1,Bhide Giri Darshan Apartment,460 sqft,Unfurnished,1,₹24 Lac ,₹4000 per sqft 
,2,Godrej Prana,851 sqft,Unfurnished,2,₹56 Lac ,₹5298 per sqft 
,3,Naren Hills,1250 sqft,Unfurnished,3,₹85 Lac ,₹6182 per sqft 
,2,Raikar Shree Laxmi Vrindavan,644 sqft,Semi-Furnished,2,₹42 Lac ,₹4811 per sqft 
,3,Kohinoor Kaleido,1400 sqft,Unfurnished,3,₹1.20 Cr ,
,4,Tejraj Elevia,1613 sqft,Semi-Furnished,4,₹2.45 Cr ,₹11254 per sqft 
,3,,1250 sqft,Unfurnished,3,₹1.18 Cr ,₹7574 per sqft 
,1,,393 sqft,Unfurnished,1,₹21 Lac ,₹3955 per sqft 
,3,Forest County,1550 sqft,Unfurnished,4,₹2.50 Cr ,₹13477 per sqft 
,1,Tanish Orchid,500 sqft,Furnished,2,₹34.8 Lac ,₹5346 per sqft 
,1,,400 sqft,Unfurnished,1,₹30.9 Lac ,₹5493 per sqft 
,3,,1200 sqft,Unfurnished,2,₹2.14 Cr ,₹19167 per sqft 
,1,Chirag Grande View 7,430 sqft,Unfurnished,1,₹47 Lac ,₹7132 per sqft 
,1,Rohan Palace,500 sqft,Unfurnished,1,₹45 Lac ,₹6383 per sqft 
,2,Sara City C,750 sqft,Unfurnished,2,₹28 Lac ,₹3314 per sqft 
,2,Star City,750 sqft,Unfurnished,2,₹41.9 Lac ,₹5455 per sqft 
